ContactID Source,ContactID Match,Match Accuracy
1,501,Low
2,502,Low
3,503,Low
4,504,Low
5,505,Low
6,506,Low
7,507,Low
8,508,Medium
9,509,Medium
10,510,Medium
11,511,Low
12,512,Low
13,513,Low
14,514,Low
15,515,Low
16,516,Low
17,517,Medium
18,518,Low
19,519,Low
20,520,Medium
21,521,Low
22,522,Medium
23,523,Low
24,524,Medium
25,525,Low
26,526,Low
27,527,Low
28,528,Medium
29,529,Medium
30,530,Low
31,531,Medium
32,532,Medium
33,533,Medium
34,534,Low
35,535,Low
36,328,Low
36,536,Low
37,537,Low
38,538,Low
39,397,Low
39,539,Medium
39,897,Low
40,540,Medium
41,541,Medium
42,542,Low
43,543,Low
44,544,Low
45,545,Medium
46,546,Medium
47,547,Low
48,548,Medium
49,549,Low
50,550,Low
51,551,Low
52,552,Low
53,553,Low
54,554,Low
55,555,Low
56,556,Low
57,557,Medium
58,558,Low
59,559,Medium
60,560,Low
61,561,Low
62,562,Medium
63,563,Medium
64,564,Low
65,565,Medium
66,566,Medium
67,567,Low
68,568,Low
69,569,Low
70,570,Low
71,571,Low
72,572,Low
73,573,Medium
74,574,Low
75,575,Low
76,576,Medium
77,577,Medium
78,578,Medium
79,579,Medium
80,580,Medium
81,581,Low
82,582,Medium
83,583,Low
84,584,Low
85,585,Medium
86,586,Medium
87,587,Low
88,588,Low
89,589,Medium
90,590,Medium
91,345,Low
91,591,Low
91,845,Low
92,592,Low
93,593,Low
94,594,Medium
95,595,Medium
96,596,Medium
97,597,Medium
98,598,Medium
99,599,Low
100,600,Low
101,601,Medium
102,602,Low
103,603,Medium
104,604,Medium
105,605,Medium
106,606,Medium
107,607,Medium
108,608,Low
109,609,Low
110,610,Medium
111,611,Medium
112,612,Medium
113,613,Low
114,614,Medium
115,615,Low
116,616,Medium
117,617,Low
118,618,Medium
119,619,Medium
120,620,Medium
121,621,Medium
122,622,Low
123,623,Low
124,624,Medium
125,625,Medium
126,626,Medium
127,627,Medium
128,628,Low
129,629,Medium
130,630,Low
131,631,Medium
132,632,Low
133,633,Low
134,634,Low
135,635,Medium
136,636,Low
137,637,Low
138,638,Low
139,639,Medium
140,640,Low
141,641,Low
142,642,Low
143,643,Low
144,644,Low
145,645,Low
146,646,Medium
147,647,Low
148,648,Low
149,649,Low
150,650,Low
151,651,Low
152,652,Low
153,653,Medium
154,654,Medium
155,362,Low
155,655,Medium
155,862,Low
156,656,Medium
157,657,Low
158,658,Medium
159,659,Medium
160,373,Low
160,660,Low
161,661,Medium
162,662,Low
163,663,Medium
164,664,Medium
165,665,Low
166,666,Medium
167,667,Medium
168,668,Low
169,669,Medium
170,670,Medium
171,671,Low
172,672,Low
173,673,Medium
174,674,Low
175,675,Low
176,676,Medium
177,677,Low
178,678,Low
179,679,Medium
180,680,Low
181,681,Low
182,682,Low
183,683,Low
184,684,Medium
185,685,Low
186,686,Low
187,687,Low
188,688,Low
189,689,Medium
190,690,Low
191,691,Low
192,692,Medium
193,693,Medium
194,694,Medium
195,695,Medium
196,696,Low
197,697,Low
198,698,Medium
199,699,Low
200,700,Low
201,701,Low
202,702,Low
203,703,Medium
204,704,Low
205,705,Low
206,706,Low
207,707,Low
