ContactID Source,ContactID Match,Match Accuracy
900,916,Low
900,920,Low
900,925,Medium
901,909,Low
901,917,Low
901,921,Low
902,928,Low
903,905,Low
903,919,Low
903,923,Low
903,937,Low
903,940,Low
904,918,Low
904,939,Low
905,919,Low
905,923,Low
905,937,Low
905,940,Low
907,931,Low
908,929,Low
909,917,Low
909,921,Low
910,924,Low
910,946,Low
911,933,Low
911,948,Low
912,930,Low
912,942,Low
913,935,Low
914,945,Low
915,926,Low
915,927,Low
915,949,Low
916,920,Low
916,925,Low
917,921,Low
918,939,Low
919,923,Low
919,937,Low
919,940,Low
920,925,Low
922,941,Low
923,937,Low
923,940,Medium
924,946,Low
926,927,Low
926,949,Low
927,949,Low
930,942,Low
933,948,Low
935,944,Low
936,943,Low
936,944,Low
937,940,Low
943,944,Low
380,880,Low
250,750,Low
496,996,Medium
90,590,Low
463,963,Medium
139,639,Low
166,666,Low
384,884,Low
235,735,Low
24,524,Low
232,732,Low
73,573,Low
303,803,Low
179,679,Low
253,753,Low
289,789,Low
239,739,Low
8,508,Low
28,528,Low
381,881,Low
63,563,Low
32,532,Low
146,646,Low
98,598,Low
194,694,Low
40,540,Low
365,865,Low
65,565,Low
111,611,Low
41,541,Low
361,861,Low
260,760,Low
62,562,Low
156,656,Low
287,787,Low
20,520,Low
262,762,Low
116,616,Low
347,847,Low
155,655,Low
362,862,Low
158,658,Low
198,698,Low
103,603,Low
121,621,Low
290,790,Low
374,874,Low
482,982,Medium
106,606,Low
459,959,Medium
126,626,Low
114,614,Low
213,713,Low
17,517,Low
214,714,Low
265,765,Low
330,830,Low
57,557,Low
167,667,Low
33,533,Low
457,957,Medium
319,819,Low
355,855,Low
291,791,Low
223,723,Low
267,767,Low
246,746,Low
184,684,Low
46,546,Low
295,795,Low
258,758,Low
66,566,Low
282,782,Low
270,770,Low
341,841,Low
76,576,Low
112,612,Low
308,808,Low
131,631,Low
217,717,Low
89,589,Low
354,854,Low
345,845,Low
159,659,Low
161,661,Low
316,816,Low
94,594,Low
127,627,Low
479,979,Medium
45,545,Low
224,724,Low
86,586,Low
176,676,Low
350,850,Low
218,718,Low
395,895,Low
353,853,Low
477,977,Medium
153,653,Low
331,831,Low
192,692,Low
85,585,Low
389,889,Low
342,842,Low
164,664,Low
263,763,Low
455,955,Medium
357,857,Low
80,580,Low
119,619,Low
286,786,Low
195,695,Low
281,781,Low
210,710,Low
466,966,Medium
259,759,Low
305,805,Low
299,799,Low
135,635,Low
120,620,Low
173,673,Low
237,737,Low
22,522,Low
48,548,Low
189,689,Low
369,869,Low
376,876,Low
209,709,Low
476,976,Medium
107,607,Low
489,989,Medium
451,951,Medium
231,731,Low
203,703,Low
129,629,Low
469,969,Medium
371,871,Low
193,693,Low
485,985,Medium
9,509,Low
304,804,Low
483,983,Medium
78,578,Low
169,669,Low
154,654,Low
472,972,Medium
462,962,Medium
170,670,Low
248,748,Low
97,597,Low
125,625,Low
95,595,Low
212,712,Low
39,539,Low
29,529,Low
118,618,Low
163,663,Low
31,531,Low
247,747,Low
340,840,Low
221,721,Low
101,601,Low
242,742,Low
59,559,Low
473,973,Medium
386,886,Low
77,577,Low
475,975,Medium
487,987,Medium
227,727,Low
10,510,Low
275,775,Low
105,605,Low
79,579,Low
293,793,Low
104,604,Low
492,992,Medium
334,834,Low
208,708,Low
110,610,Low
343,843,Low
278,778,Low
393,893,Low
225,725,Low
82,582,Low
323,823,Low
385,885,Low
124,624,Low
96,596,Low
